Current,Time,Reading #
+0074.650E-12,130.5041799999999,217
+0074.631E-12,131.09796399999868,218
+0074.616E-12,131.69383099999868,219
+0074.674E-12,132.28707699999904,220
+0074.658E-12,132.8823169999996,221
+0074.674E-12,133.4795009999998,222
+0074.616E-12,134.07669499999975,223
+0074.648E-12,134.6734180000003,224
+0074.624E-12,135.26901799999905,225
+0074.618E-12,135.86480800000027,226
+0074.629E-12,136.46050699999978,227
+0074.637E-12,137.06782399999975,228
+0074.602E-12,137.67287899999974,229
+0074.583E-12,138.2677960000001,230
+0074.568E-12,138.86376000000018,231
+0074.467E-12,139.4607509999987,232
+0074.546E-12,140.06613499999912,233
+0074.582E-12,140.66105199999947,234
+0074.554E-12,141.25632099999893,235
+0074.607E-12,141.85204599999997,236
+0074.596E-12,142.44720499999858,237
+0074.576E-12,143.05452999999943,238
+0074.633E-12,143.65114499999981,239
+0074.622E-12,144.25821799999903,240
